review_id,hotel_name,review_text,rating,review_date
43,Heritage Boutique Hotel,"Heritage Boutique Hotel was well below expectations. The maintenance left much to be desired, and the staff was rundown. The parking fee was not disclosed when we booked and was outrageously expensive. Very disappointed with my stay.",2,2023-06-04
44,Riverside Inn,"My stay at Riverside Inn was average. The bed was decent, and the value for money was satisfactory. However, The WiFi was so slow it was practically unusable. Not bad, but nothing special either.",3,2023-11-12
45,Sunset Beach Resort,"I can't say enough good things about Sunset Beach Resort. From the moment we checked in, the restaurant was outstanding. The service was beautiful and impressive. The location was perfect, within walking distance to all major attractions. Will definitely be returning on my next trip.",5,2023-07-16
46,Grand Plaza Hotel,"Mixed feelings about Grand Plaza Hotel. The bed was charming, which I appreciated. However, the restaurant was outdated. The WiFi was free but connection was spotty in certain areas of the hotel. Might consider staying again if the issues are addressed.",3,2023-03-29
47,Metropolitan Luxury Hotel,"I regret booking Metropolitan Luxury Hotel. The parking was overpriced, and the maintenance was a complete letdown. The elevator was out of service and we had to climb five flights of stairs. Will definitely not be returning.",2,2022-06-23
48,Oceanview Resort,"Oceanview Resort was well below expectations. The service left much to be desired, and the restaurant was disappointing. We could hear every noise from the hallway and adjacent rooms. Very disappointed with my stay.",2,2022-08-29
49,Riverside Inn,"Mixed feelings about Riverside Inn. The breakfast was exceptional, which I appreciated. However, the room was mediocre. The breakfast had good variety but many items weren't replenished promptly. Might consider staying again if the issues are addressed.",3,2022-03-16
50,Metropolitan Luxury Hotel,"I regret booking Metropolitan Luxury Hotel. The bathroom was unpleasant, and the price was a complete letdown. The parking fee was not disclosed when we booked and was outrageously expensive. Will definitely not be returning.",2,2023-02-14
51,City Center Suites,"City Center Suites was adequate for our needs. The decor was good, but the maintenance could use improvement. The room was clean but smaller than it appeared in the photos. For the price, it was an acceptable place to stay.",3,2022-06-30
52,Countryside Manor,"A reasonable stay at Countryside Manor. The location was superb, which was nice. Unfortunately, the staff was disappointing. The lobby was elegant but the hallways and rooms could use updating. Overall, a middle-of-the-road experience.",3,2023-11-15
53,Countryside Manor,"What a fantastic experience at Countryside Manor! The value for money was impeccable, and They even left a complimentary bottle of wine for our anniversary. The view was also top-notch. This hotel offers great value for the price, and I'm already planning my next stay.",4,2023-06-01
54,Sunset Beach Resort,"Sunset Beach Resort has potential but falls short in some areas. The decor was nice, but the check-in process needs attention. The lobby was elegant but the hallways and rooms could use updating. An okay option if you're not too picky.",3,2022-09-11
55,Riverside Inn,"I regret booking Riverside Inn. The parking was noisy, and the check-in process was a complete letdown. The breakfast was cold and the selection was very limited. Will definitely not be returning.",1,2022-03-21
56,Riverside Inn,"What a fantastic experience at Riverside Inn! The amenities was impeccable, and The staff went above and beyond to make our stay comfortable. The restaurant was also top-notch. This hotel offers great value for the price, and I'm already planning my next stay.",5,2022-06-04
57,City Center Suites,"I can't say enough good things about City Center Suites. From the moment we checked in, the check-in process was outstanding. The location was beautiful and impressive. The staff went above and beyond to make our stay comfortable. Will definitely be returning on my next trip.",4,2023-02-22
58,Heritage Boutique Hotel,"Heritage Boutique Hotel provided an exceptional experience. The room was impressive, and the cleanliness was equally impressive. The fitness center had state-of-the-art equipment. Overall, a impressive place to stay in Austin.",4,2023-02-03
59,Harbor View Hotel,"I cannot recommend Harbor View Hotel. The amenities was terrible, and The room looked nothing like the photos on the website. The price made matters worse. This was not the exceptional experience I was hoping for.",2,2022-01-07
60,Heritage Boutique Hotel,"Heritage Boutique Hotel has potential but falls short in some areas. The atmosphere was nice, but the WiFi needs attention. The view was beautiful but the windows weren't well insulated against the cold. An okay option if you're not too picky.",3,2023-09-10
61,City Center Suites,"Avoid City Center Suites if possible. The WiFi was unacceptable, and the air conditioning was equally disappointing. The room had visible stains on the carpet and furniture. Save your money and book elsewhere.",2,2023-11-16
62,Sunset Beach Resort,"Sunset Beach Resort exceeded all expectations. The view was perfect, and the breakfast was perfect. They even left a complimentary bottle of wine for our anniversary. A truly memorable stay from start to finish.",4,2022-01-28
63,Sunset Beach Resort,"Sunset Beach Resort was adequate for our needs. The staff was good, but the WiFi could use improvement. The staff was friendly though sometimes slow to respond to requests. For the price, it was an acceptable place to stay.",3,2022-02-21
64,Riverside Inn,"I can't say enough good things about Riverside Inn. From the moment we checked in, the view was outstanding. The amenities was beautiful and elegant. We enjoyed the rooftop pool with its spectacular views of the city. Will definitely be returning on my next trip.",5,2023-01-24
65,Riverside Inn,"Riverside Inn provided an exceptional experience. The cleanliness was exceptional, and the decor was equally impressive. The staff went above and beyond to make our stay comfortable. Overall, a exceptional place to stay in New Orleans.",4,2022-01-20
66,Countryside Manor,"Mixed feelings about Countryside Manor. The service was elegant, which I appreciated. However, the price was terrible. The location was convenient but the street noise was bothersome at night. Might consider staying again if the issues are addressed.",3,2022-07-24
67,Grand Plaza Hotel,"I can't say enough good things about Grand Plaza Hotel. From the moment we checked in, the breakfast was outstanding. The pool was beautiful and outstanding. The modern amenities made our stay so convenient. Will definitely be returning on my next trip.",4,2023-08-01
68,City Center Suites,"Avoid City Center Suites if possible. The price was unacceptable, and the cleanliness was equally disappointing. The bed was so uncomfortable that I barely slept the entire stay. Save your money and book elsewhere.",2,2022-04-28
69,Mountain Retreat Lodge,Just returned from a 1 night stay at Mountain Retreat Lodge and couldn't be happier! The room was superb. They even left a complimentary bottle of wine for our anniversary. The amenities was also excellent. Highly recommend!,5,2023-01-20
70,Sunset Beach Resort,"Unfortunately, my stay at Sunset Beach Resort was disappointing. The restaurant was frustrating, and the price was not up to standard. The hotel charged us for items from the minibar that we never consumed. I would not recommend this hotel.",1,2022-04-15
71,Riverside Inn,"I regret booking Riverside Inn. The price was mediocre, and the staff was a complete letdown. We found hair in the bathtub and on the supposedly 'clean' sheets. Will definitely not be returning.",1,2022-02-12
72,Heritage Boutique Hotel,"Best hotel experience in years! The amenities at Heritage Boutique Hotel was incredible, and the staff made our stay special. The room service was prompt and the food was excellent. If you're visiting Austin, you must stay here.",5,2022-12-16
73,Grand Plaza Hotel,"Grand Plaza Hotel has potential but falls short in some areas. The staff was nice, but the cleanliness needs attention. The lobby was elegant but the hallways and rooms could use updating. An okay option if you're not too picky.",3,2022-06-30
74,Countryside Manor,Just returned from a 3 night stay at Countryside Manor and couldn't be happier! The value for money was superb. Everything was immaculately maintained throughout the property. The pool was also excellent. Highly recommend!,5,2023-04-22
75,Sunset Beach Resort,"A reasonable stay at Sunset Beach Resort. The cleanliness was spotless, which was nice. Unfortunately, the maintenance was disappointing. The breakfast had good variety but many items weren't replenished promptly. Overall, a middle-of-the-road experience.",3,2022-10-13
76,Metropolitan Luxury Hotel,"My week-long night stay at Metropolitan Luxury Hotel was a mistake. The restaurant was unpleasant, and There were bugs in the room that management didn't address. The service didn't make things any better. Not worth the price at all.",2,2022-01-30
77,Metropolitan Luxury Hotel,"Mixed feelings about Metropolitan Luxury Hotel. The view was delightful, which I appreciated. However, the cleanliness was noisy. The bed was comfortable but the pillows were too flat. Might consider staying again if the issues are addressed.",3,2023-09-03
78,Riverside Inn,"I regret booking Riverside Inn. The bathroom was disgusting, and the staff was a complete letdown. The breakfast was cold and the selection was very limited. Will definitely not be returning.",2,2023-05-16
79,Countryside Manor,"Countryside Manor has potential but falls short in some areas. The service was nice, but the parking needs attention. The lobby was elegant but the hallways and rooms could use updating. An okay option if you're not too picky.",3,2022-10-29
80,City Center Suites,"Mixed feelings about City Center Suites. The cleanliness was exceptional, which I appreciated. However, the restaurant was poor. The pool area was nice but often overcrowded with limited seating. Might consider staying again if the issues are addressed.",3,2022-12-19
81,Sunset Beach Resort,"What a fantastic experience at Sunset Beach Resort! The amenities was impeccable, and Every staff member we encountered was friendly and helpful. The value for money was also top-notch. This hotel offers great value for the price, and I'm already planning my next stay.",4,2022-11-10
82,Riverside Inn,"Best hotel experience in years! The location at Riverside Inn was incredible, and the bed made our stay special. The staff went above and beyond to make our stay comfortable. If you're visiting Chicago, you must stay here.",5,2023-07-03
83,Mountain Retreat Lodge,"Mountain Retreat Lodge has potential but falls short in some areas. The cleanliness was nice, but the restaurant needs attention. The view was beautiful but the windows weren't well insulated against the cold. An okay option if you're not too picky.",3,2022-07-18
84,Riverside Inn,"I had a terrible experience at Riverside Inn. The noise level was poor, and The parking fee was not disclosed when we booked and was outrageously expensive. The room was also problematic. Would not stay here again.",2,2022-10-08
85,Grand Plaza Hotel,"My stay at Grand Plaza Hotel was average. The check-in process was decent, and the breakfast was satisfactory. However, The room had visible stains on the carpet and furniture. Not bad, but nothing special either.",3,2023-08-11
86,Riverside Inn,"Riverside Inn has potential but falls short in some areas. The amenities was nice, but the room needs attention. The bed was comfortable but the pillows were too flat. An okay option if you're not too picky.",3,2022-03-08
87,Sunset Beach Resort,"A reasonable stay at Sunset Beach Resort. The service was superb, which was nice. Unfortunately, the room was disappointing. The staff was friendly though sometimes slow to respond to requests. Overall, a middle-of-the-road experience.",3,2022-11-08
88,Oceanview Resort,Just returned from a 1 night stay at Oceanview Resort and couldn't be happier! The value for money was superb. They even left a complimentary bottle of wine for our anniversary. The bed was also excellent. Highly recommend!,5,2023-09-26
89,City Center Suites,"City Center Suites has potential but falls short in some areas. The view was nice, but the noise level needs attention. The WiFi was free but connection was spotty in certain areas of the hotel. An okay option if you're not too picky.",3,2023-09-28
90,Grand Plaza Hotel,"My stay at Grand Plaza Hotel was absolutely wonderful! The value for money was exceptional, and the location exceeded my expectations. The modern amenities made our stay so convenient. I would definitely recommend this hotel to anyone visiting Denver.",5,2022-09-28
91,Oceanview Resort,"I can't say enough good things about Oceanview Resort. From the moment we checked in, the pool was outstanding. The staff was beautiful and excellent. The bed was incredibly comfortable, like sleeping on a cloud. Will definitely be returning on my next trip.",5,2023-02-23
92,Metropolitan Luxury Hotel,"Metropolitan Luxury Hotel provided an exceptional experience. The cleanliness was wonderful, and the room was equally impressive. The breakfast buffet had an amazing variety of fresh, delicious options. Overall, a wonderful place to stay in Washington D.C..",5,2023-12-25
93,Riverside Inn,"My week-long night stay at Riverside Inn was a mistake. The staff was rundown, and The breakfast was cold and the selection was very limited. The check-in process didn't make things any better. Not worth the price at all.",1,2023-10-03
94,Harbor View Hotel,"I can't say enough good things about Harbor View Hotel. From the moment we checked in, the bed was outstanding. The staff was beautiful and fantastic. The room service was prompt and the food was excellent. Will definitely be returning on my next trip.",4,2023-10-26
95,Mountain Retreat Lodge,"Mountain Retreat Lodge exceeded all expectations. The breakfast was superb, and the staff was perfect. The room was spotlessly clean and beautifully decorated. A truly memorable stay from start to finish.",5,2022-11-11
96,Harbor View Hotel,"I regret booking Harbor View Hotel. The amenities was disappointing, and the noise level was a complete letdown. The air conditioning was broken, making the room unbearably hot. Will definitely not be returning.",2,2023-12-07
97,Riverside Inn,"What a fantastic experience at Riverside Inn! The pool was impeccable, and Every staff member we encountered was friendly and helpful. The restaurant was also top-notch. This hotel offers great value for the price, and I'm already planning my next stay.",4,2022-03-24
98,Harbor View Hotel,"Best hotel experience in years! The amenities at Harbor View Hotel was incredible, and the service made our stay special. The location was perfect, within walking distance to all major attractions. If you're visiting New York, you must stay here.",5,2022-04-04
99,City Center Suites,"A reasonable stay at City Center Suites. The restaurant was luxurious, which was nice. Unfortunately, the price was disappointing. The bed was comfortable but the pillows were too flat. Overall, a middle-of-the-road experience.",3,2022-06-29
100,Metropolitan Luxury Hotel,"My weekend night stay at Metropolitan Luxury Hotel was a mistake. The amenities was mediocre, and The bed was so uncomfortable that I barely slept the entire stay. The noise level didn't make things any better. Not worth the price at all.",2,2023-10-13
101,Metropolitan Luxury Hotel,"What a fantastic experience at Metropolitan Luxury Hotel! The bed was impeccable, and We enjoyed the rooftop pool with its spectacular views of the city. The amenities was also top-notch. This hotel offers great value for the price, and I'm already planning my next stay.",4,2022-04-18
102,Mountain Retreat Lodge,"Mountain Retreat Lodge has potential but falls short in some areas. The cleanliness was nice, but the WiFi needs attention. The view was beautiful but the windows weren't well insulated against the cold. An okay option if you're not too picky.",3,2022-11-19
103,Riverside Inn,"Riverside Inn has potential but falls short in some areas. The atmosphere was nice, but the maintenance needs attention. The location was convenient but the street noise was bothersome at night. An okay option if you're not too picky.",3,2023-04-19
104,Sunset Beach Resort,Just returned from a 2 night stay at Sunset Beach Resort and couldn't be happier! The amenities was superb. Everything was immaculately maintained throughout the property. The service was also excellent. Highly recommend!,5,2023-10-03
105,Metropolitan Luxury Hotel,"I can't say enough good things about Metropolitan Luxury Hotel. From the moment we checked in, the cleanliness was outstanding. The restaurant was beautiful and peaceful. The bed was incredibly comfortable, like sleeping on a cloud. Will definitely be returning on my next trip.",5,2022-10-22
106,Metropolitan Luxury Hotel,"Metropolitan Luxury Hotel provided an exceptional experience. The staff was luxurious, and the room was equally impressive. The modern amenities made our stay so convenient. Overall, a luxurious place to stay in San Diego.",4,2022-09-03
107,Mountain Retreat Lodge,"Mountain Retreat Lodge was adequate for our needs. The pool was good, but the staff could use improvement. The breakfast had good variety but many items weren't replenished promptly. For the price, it was an acceptable place to stay.",3,2023-04-18
108,Oceanview Resort,"I can't say enough good things about Oceanview Resort. From the moment we checked in, the view was outstanding. The value for money was beautiful and perfect. The location was perfect, within walking distance to all major attractions. Will definitely be returning on my next trip.",5,2023-12-24
109,Riverside Inn,"Riverside Inn has potential but falls short in some areas. The view was nice, but the parking needs attention. The view was beautiful but the windows weren't well insulated against the cold. An okay option if you're not too picky.",3,2023-09-06
110,Countryside Manor,"Countryside Manor exceeded all expectations. The staff was elegant, and the amenities was perfect. Everything was immaculately maintained throughout the property. A truly memorable stay from start to finish.",5,2023-03-01
111,Heritage Boutique Hotel,Just returned from a week-long night stay at Heritage Boutique Hotel and couldn't be happier! The cleanliness was superb. The room was spotlessly clean and beautifully decorated. The decor was also excellent. Highly recommend!,5,2022-11-02
112,Harbor View Hotel,"My weekend night stay at Harbor View Hotel was a mistake. The maintenance was poor, and The air conditioning was broken, making the room unbearably hot. The breakfast didn't make things any better. Not worth the price at all.",1,2022-12-20
113,Heritage Boutique Hotel,"A reasonable stay at Heritage Boutique Hotel. The bed was spotless, which was nice. Unfortunately, the amenities was disappointing. The pool area was nice but often overcrowded with limited seating. Overall, a middle-of-the-road experience.",3,2022-09-02
114,Harbor View Hotel,"I cannot recommend Harbor View Hotel. The price was terrible, and The room had visible stains on the carpet and furniture. The WiFi made matters worse. This was not the comfortable experience I was hoping for.",1,2023-04-30
115,Sunset Beach Resort,"Mixed feelings about Sunset Beach Resort. The view was luxurious, which I appreciated. However, the breakfast was outdated. The view was beautiful but the windows weren't well insulated against the cold. Might consider staying again if the issues are addressed.",3,2022-04-13
116,Metropolitan Luxury Hotel,"Metropolitan Luxury Hotel provided an exceptional experience. The room was impressive, and the value for money was equally impressive. The bed was incredibly comfortable, like sleeping on a cloud. Overall, a impressive place to stay in Miami.",4,2023-11-02
117,Mountain Retreat Lodge,"My stay at Mountain Retreat Lodge was average. The amenities was decent, and the service was satisfactory. However, The hotel charged us for items from the minibar that we never consumed. Not bad, but nothing special either.",3,2022-12-03
118,Countryside Manor,"Countryside Manor was well below expectations. The check-in process left much to be desired, and the maintenance was shabby. The air conditioning was broken, making the room unbearably hot. Very disappointed with my stay.",1,2022-02-06
119,Harbor View Hotel,"My stay at Harbor View Hotel was average. The location was decent, and the value for money was satisfactory. However, There were bugs in the room that management didn't address. Not bad, but nothing special either.",3,2023-12-22
120,Oceanview Resort,"Best hotel experience in years! The cleanliness at Oceanview Resort was incredible, and the room made our stay special. The room was spotlessly clean and beautifully decorated. If you're visiting Seattle, you must stay here.",4,2022-02-27
121,Riverside Inn,"Riverside Inn provided an exceptional experience. The breakfast was impressive, and the cleanliness was equally impressive. The room service was prompt and the food was excellent. Overall, a impressive place to stay in Los Angeles.",5,2023-08-03
122,Mountain Retreat Lodge,"Mountain Retreat Lodge was adequate for our needs. The restaurant was good, but the WiFi could use improvement. The WiFi was free but connection was spotty in certain areas of the hotel. For the price, it was an acceptable place to stay.",3,2023-08-21
123,Mountain Retreat Lodge,"My stay at Mountain Retreat Lodge was average. The view was decent, and the cleanliness was satisfactory. However, The air conditioning was broken, making the room unbearably hot. Not bad, but nothing special either.",3,2022-10-22
124,Countryside Manor,"Countryside Manor provided an exceptional experience. The amenities was charming, and the service was equally impressive. The location was perfect, within walking distance to all major attractions. Overall, a charming place to stay in Las Vegas.",5,2023-03-11
125,Riverside Inn,"What a fantastic experience at Riverside Inn! The location was impeccable, and The fitness center had state-of-the-art equipment. The view was also top-notch. This hotel offers great value for the price, and I'm already planning my next stay.",4,2022-04-20
126,City Center Suites,"What a fantastic experience at City Center Suites! The restaurant was impeccable, and The concierge provided excellent recommendations for local restaurants. The cleanliness was also top-notch. This hotel offers great value for the price, and I'm already planning my next stay.",4,2022-01-23
127,Sunset Beach Resort,Just returned from a 1 night stay at Sunset Beach Resort and couldn't be happier! The atmosphere was superb. Everything was immaculately maintained throughout the property. The service was also excellent. Highly recommend!,5,2022-02-20
128,Harbor View Hotel,"Harbor View Hotel exceeded all expectations. The decor was elegant, and the cleanliness was perfect. Everything was immaculately maintained throughout the property. A truly memorable stay from start to finish.",4,2022-08-24
129,Harbor View Hotel,"I had a terrible experience at Harbor View Hotel. The service was noisy, and The room looked nothing like the photos on the website. The bathroom was also problematic. Would not stay here again.",2,2023-11-07
130,Mountain Retreat Lodge,"Mountain Retreat Lodge was adequate for our needs. The cleanliness was good, but the parking could use improvement. The location was convenient but the street noise was bothersome at night. For the price, it was an acceptable place to stay.",3,2022-05-15
131,Oceanview Resort,"Avoid Oceanview Resort if possible. The check-in process was unacceptable, and the WiFi was equally disappointing. The bed was so uncomfortable that I barely slept the entire stay. Save your money and book elsewhere.",2,2023-07-07
132,Heritage Boutique Hotel,"My stay at Heritage Boutique Hotel was average. The atmosphere was decent, and the breakfast was satisfactory. However, The parking fee was not disclosed when we booked and was outrageously expensive. Not bad, but nothing special either.",3,2022-12-13
133,Oceanview Resort,"I can't say enough good things about Oceanview Resort. From the moment we checked in, the value for money was outstanding. The location was beautiful and charming. The fitness center had state-of-the-art equipment. Will definitely be returning on my next trip.",5,2023-11-22
134,Sunset Beach Resort,Just returned from a week-long night stay at Sunset Beach Resort and couldn't be happier! The amenities was superb. Everything was immaculately maintained throughout the property. The staff was also excellent. Highly recommend!,4,2022-01-15
135,Riverside Inn,"Riverside Inn provided an exceptional experience. The amenities was charming, and the check-in process was equally impressive. The concierge provided excellent recommendations for local restaurants. Overall, a charming place to stay in Austin.",4,2022-09-26
136,Harbor View Hotel,"My stay at Harbor View Hotel was average. The staff was decent, and the check-in process was satisfactory. However, The elevator was out of service and we had to climb five flights of stairs. Not bad, but nothing special either.",3,2023-07-29
137,Heritage Boutique Hotel,"I can't say enough good things about Heritage Boutique Hotel. From the moment we checked in, the service was outstanding. The staff was beautiful and spotless. The modern amenities made our stay so convenient. Will definitely be returning on my next trip.",5,2023-04-21
138,Riverside Inn,"My stay at Riverside Inn was absolutely wonderful! The breakfast was exceptional, and the room exceeded my expectations. The room was spotlessly clean and beautifully decorated. I would definitely recommend this hotel to anyone visiting Orlando.",4,2023-05-20
139,Oceanview Resort,Just returned from a 2 night stay at Oceanview Resort and couldn't be happier! The breakfast was superb. Every staff member we encountered was friendly and helpful. The view was also excellent. Highly recommend!,4,2023-11-18
140,Countryside Manor,"Best hotel experience in years! The check-in process at Countryside Manor was incredible, and the breakfast made our stay special. We loved the evening reception with complimentary drinks in the lobby. If you're visiting Boston, you must stay here.",4,2023-11-02
